# ŦаƄȴℯ τᴏ ¢օƞνеɼȶ սηіҫօɗе ƈᴑȡe ρoɨոƭʂ ȶဝ ʈɦℯⅈг ɳeẚɼℯѕŧ ᗅЅСƗІ homoglyph
# Copyright (c) 2011 Cristian Martinez <me-at-martinec.org>
#
# This data is released under the LGPLLR license. You can use it in commercial
# and non-commercial code with attribution. See http://spdx.org/licenses/LGPLLR
#
# Note:
# The rules to convert accented characters to their unaccented version are
# omitted. Unaccented characters can be obtained by removing the Combining
# Diacritical Marks from canonical mappings containg two-codepoints in the
# form <unaccented character> <combining diacritical mark>
#
# Format:
# <code point>;<normalization>;(glyph) (normalization);(glyph name) (normalization)
2475;0028 0032 0029;(⑵) ((2));(PARENTHESIZED DIGIT TWO) (LEFT PARENTHESIS  DIGIT TWO  RIGHT PARENTHESIS)
2476;0028 0033 0029;(⑶) ((3));(PARENTHESIZED DIGIT THREE) (LEFT PARENTHESIS  DIGIT THREE  RIGHT PARENTHESIS)
2477;0028 0034 0029;(⑷) ((4));(PARENTHESIZED DIGIT FOUR) (LEFT PARENTHESIS  DIGIT FOUR  RIGHT PARENTHESIS)
2478;0028 0035 0029;(⑸) ((5));(PARENTHESIZED DIGIT FIVE) (LEFT PARENTHESIS  DIGIT FIVE  RIGHT PARENTHESIS)
2479;0028 0036 0029;(⑹) ((6));(PARENTHESIZED DIGIT SIX) (LEFT PARENTHESIS  DIGIT SIX  RIGHT PARENTHESIS)
247A;0028 0037 0029;(⑺) ((7));(PARENTHESIZED DIGIT SEVEN) (LEFT PARENTHESIS  DIGIT SEVEN  RIGHT PARENTHESIS)
247B;0028 0038 0029;(⑻) ((8));(PARENTHESIZED DIGIT EIGHT) (LEFT PARENTHESIS  DIGIT EIGHT  RIGHT PARENTHESIS)
247C;0028 0039 0029;(⑼) ((9));(PARENTHESIZED DIGIT NINE) (LEFT PARENTHESIS  DIGIT NINE  RIGHT PARENTHESIS)
247D;0028 0031 0030 0029;(⑽) ((10));(PARENTHESIZED NUMBER TEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT ZERO  RIGHT PARENTHESIS)
247E;0028 0031 0031 0029;(⑾) ((11));(PARENTHESIZED NUMBER ELEVEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT ONE  RIGHT PARENTHESIS)
247F;0028 0031 0032 0029;(⑿) ((12));(PARENTHESIZED NUMBER TWELVE) (LEFT PARENTHESIS  DIGIT ONE  DIGIT TWO  RIGHT PARENTHESIS)
2480;0028 0031 0033 0029;(⒀) ((13));(PARENTHESIZED NUMBER THIRTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT THREE  RIGHT PARENTHESIS)
2481;0028 0031 0034 0029;(⒁) ((14));(PARENTHESIZED NUMBER FOURTEEN) (LEFT PARENTHESIS  DIGIT ONE  DIGIT FOUR  RIGHT PARENTHESIS)
